I Träger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IPE,,,,,,,,,,,,,,,,,,,Knicklinie,,,,,,,,,,,
,h,b,s,t,r,h-2c,A,G,U,Sy,Jy,Wy,iy,Jz,Wz,iz,"Mpl,y,d","Npl,x,d","Vpl,z,d",Y-y,Z-z,,,,,,,,,,Berechnung Abminderungsfaktor ?
,,,,,,,,0,,0,0,0,,,,,,,,a,b,,,,,,,,,,
HEA 100,,,,,,,,"16,7",,"41,5",349,"72,8",,,,,,,,a,b,,,,,,,,,,
HEA 120,,,,,,,,"19,9",,"59,7",606,106,,,,,,,,a,b,,,,,,,,,,
HEA 140,,,,,,,,"24,7",,"86,7",1030,155,,,,,,,,a,b,,,,,,,,,,
HEA 160,,,,,,,,"30,4",,123,1670,220,,,,,,,,a,b,,,,,,,,,,
HEA 180,,,,,,,,"35,5",,162,2510,294,,,,,,,,a,b,,,,,,,,,,
HEA 200,,,,,,,,"42,3",,215,3690,389,,,,,,,,a,b,,,,,,,,,,
HEA 220,,,,,,,,"50,5",,284,5410,515,,,,,,,,a,b,,,,,,,,,,
HEA 240,,,,,,,,"60,3",,372,7760,675,,,,,,,,a,b,,,,,,,,,,
HEA 260,,,,,,,,"68,2",,460,10450,836,,,,,,,,a,b,,,,,,,,,,
HEA 280,,,,,,,,"76,4",,556,13670,1010,,,,,,,,a,b,,,,,,,,,,
HEA 300,,,,,,,,"88,3",,692,18260,1260,,,,,,,,a,b,,,,,,,,,,
HEA 320,,,,,,,,"97,6",,814,22930,1480,,,,,,,,a,b,,,,,,,,,,
HEA 340,,,,,,,,105,,925,27690,1680,,,,,,,,a,b,,,,,,,,,,
HEA 360,,,,,,,,112,,1040,33090,1890,,,,,,,,a,b,,,,,,,,,,
HEA 400,,,,,,,,125,,1280,45070,2310,,,,,,,,a,b,,,,,,,,,,
HEA 450,,,,,,,,140,,1610,63720,2900,,,,,,,,a,b,,,,,,,,,,
HEA 500,,,,,,,,155,,1970,86970,3550,,,,,,,,a,b,,,,,,,,,,
